model,n_components,k,cov,tr_silhouette,tr_calinski_harabasz,tr_davies_bouldin,te_silhouette,te_calinski_harabasz,te_davies_bouldin
SVD+GMM,8,4,tied,0.09782709683215893,2053.6981219815375,2.878902782543354,0.09054586282529772,493.17880457597755,2.916403041840709
SVD+GMM,8,4,diag,0.075740827459006,1623.3815783362727,2.965112227744539,0.07695375384981808,406.34084624510166,2.9357440695952146
SVD+GMM,8,4,spherical,0.19727659107957252,3905.0873540239886,1.3404036060966338,0.19883963924157794,967.2615678700827,1.3362312107546743
SVD+GMM,8,5,full,0.005012220545347976,995.5965676379537,3.0404996881438824,-0.002295939029273282,243.31180413288757,3.0636479236605867
SVD+GMM,8,5,tied,0.11719428155062653,2399.4987521861235,1.7637309288175314,0.12220324929454604,601.3913300201824,1.7303319604103187
SVD+GMM,8,5,diag,0.057686649451038366,1292.8570674264176,3.6244349520389294,0.057471092854878315,324.6384273950863,3.6107488445775737
SVD+GMM,8,5,spherical,0.16857027328129323,3602.0012899238204,1.5607716312340236,0.17063846897651036,895.2802832130284,1.5358759660442014
SVD+GMM,8,6,full,0.06025752933074581,1522.8944871467481,4.039285042696391,0.05541200488611339,379.9594380329171,4.03101974512911
SVD+GMM,8,6,tied,0.09802789229530669,1968.5593235668036,1.8990718267930704,0.10451275526358546,494.6175075977277,1.9199980045220493
SVD+GMM,8,6,diag,0.05823161261177451,1230.1087187008218,3.2553281771016387,0.05786059821393769,313.97523730414,3.161877782167778
SVD+GMM,8,6,spherical,0.1568328688092097,3330.5342545313088,1.5078675680116795,0.15825355535383792,830.0442780108657,1.4749310370456021
SVD+GMM,8,8,full,0.04813690867191065,1201.822434185507,3.4507900843876307,0.04530827625123491,300.9872302046838,3.47778872799026
SVD+GMM,8,8,tied,0.05853263401471921,1486.922942609692,2.5542352354308537,0.05942666516926166,373.1169092942684,2.5479214491192534
SVD+GMM,8,8,diag,0.04809321184399656,990.527985355322,3.556072993839905,0.046887443254416766,250.75609533320878,3.537192118103268
SVD+GMM,8,8,spherical,0.15042010061564504,2887.6533187910823,1.5234422143149011,0.15351564983206267,723.5644454969926,1.5122295170050535
SVD+GMM,8,10,full,0.0210535134460483,874.9755971034908,3.9921697374020937,0.006396032335541353,211.29099946010567,4.186096848175479
SVD+GMM,8,10,tied,0.04698594695754608,1314.6749159336944,2.548948154010045,0.04829598745115956,325.37804786272744,2.484637530761202
SVD+GMM,8,10,diag,0.016511678333813604,816.6236835376416,3.915285151476026,0.013181688376368522,205.58569937269414,4.047185034494776
SVD+GMM,8,10,spherical,0.15040771557614427,2653.552775382117,1.5004295886744545,0.1504139400085572,654.9675276469259,1.5033387966543033
SVD+GMM,12,2,full,0.43514351083711783,2180.7814774322264,0.7555012617893213,0.4320104718354222,533.479159376103,0.7603530844256166
SVD+GMM,12,2,tied,0.16709867137854492,3453.129081411701,1.9978110679044843,0.16206246400191274,827.8779024935944,2.042886055492377
SVD+GMM,12,2,diag,0.13310561610813507,925.2515080427689,3.2601467433747673,0.13025450952735898,227.8810329287826,3.2475887111950046
SVD+GMM,12,2,spherical,0.1673801519641014,3458.383057486847,1.998050834306659,0.16343595847520925,831.5616735612173,2.0385345393810503
SVD+GMM,12,3,full,0.09066515837929072,1446.6154566252471,2.5805721544306093,0.08514451186218877,353.2285857127171,2.571382768653526
SVD+GMM,12,3,tied,0.14044962522158472,2435.728716378118,1.8740208125192368,0.13682050483983285,585.7753619229719,1.917641199533847
SVD+GMM,12,3,diag,0.09066515837929072,1446.6154566252471,2.5805721544306093,0.08514451186218877,353.2285857127171,2.571382768653526
SVD+GMM,12,3,spherical,0.19905645986681722,3434.830072444658,1.4784561317208793,0.1955658010508547,834.4194087789778,1.4967764933225778
SVD+GMM,12,4,full,0.12428644570763427,1960.1287318037064,2.198381848210137,0.12120434268837844,478.8379884925173,2.205708022697898
SVD+GMM,12,4,tied,0.09995325097209512,1740.450059241274,1.8718593234295395,0.1014109927420179,439.11300017451885,1.8502773439671953
SVD+GMM,12,4,diag,0.059187999084286486,1083.9508028158318,4.029894292760428,0.0593471561494141,265.6902054279775,4.025343316406007
SVD+GMM,12,4,spherical,0.17318618391558965,3278.1326710544017,1.4861634458203101,0.17469315941609354,813.150127626135,1.481071113684703
SVD+GMM,12,5,full,0.06633050357661091,1265.020768652241,2.784990542633635,0.06732055794179374,307.3052142913448,2.82400177714826
SVD+GMM,12,5,tied,0.09125055767350121,1694.1823748659692,1.8291175597574845,0.09449117565040248,419.5986574591668,1.820671585194574
SVD+GMM,12,5,diag,0.04908242218846903,857.792721556191,3.9231618054572026,0.04548100854222733,211.3716401693797,3.8774110417251166
SVD+GMM,12,5,spherical,0.15205172796232452,2978.0053448496487,1.6278598720980741,0.15183486110690086,736.1193910047143,1.600892890995033
SVD+GMM,12,6,full,0.05046381797452226,1154.8847797398048,2.5959063754857925,0.048494677480592586,277.1666191449987,2.5929844795305983
SVD+GMM,12,6,tied,0.07033070261890902,1529.616046671204,1.9068753224359052,0.07305210058254666,377.5036383600291,1.8975620172326886
SVD+GMM,12,6,diag,0.03751251760122863,777.0146241776031,3.927991506884336,0.033614749107657146,191.70768911886873,3.9483885245851167
SVD+GMM,12,6,spherical,0.13645755109116273,2721.1270923748502,1.6860578683659455,0.13775549201218437,679.8422846719207,1.652055428636548
SVD+GMM,12,8,full,0.027932905618897812,952.5500814757463,2.7337393120905027,0.01769012608867501,233.5621017754148,2.7062071438822466
SVD+GMM,12,8,tied,0.07177017629326625,1402.7307300560203,2.251862663121173,0.07125506791720744,343.5138481616694,2.35783688103432
SVD+GMM,12,8,diag,0.03340661205617339,761.616295765487,3.3724116850762744,0.030745275010811004,189.51426230690416,3.329841749117045
SVD+GMM,12,8,spherical,0.14327683745626923,2363.70548098221,1.6423011260539517,0.14212661095743098,584.966865309112,1.6287496285975298
SVD+GMM,12,10,full,0.026958070879419448,870.2728276089393,2.7188076406920407,0.02472466738337312,207.50957838512775,2.772303598376122
SVD+GMM,12,10,tied,0.060627016301874316,1108.9013902503798,2.323865058167267,0.06428961122468617,276.4657322864164,2.324986581078819
SVD+GMM,12,10,diag,0.025753205845918836,602.0486679190086,4.4489180486456466,0.02502414537046294,150.640675186661,4.458072375387896
SVD+GMM,12,10,spherical,0.14157964252471242,2128.6103281264955,1.6936617102682185,0.1419487014545828,530.9062982635704,1.7000330341645948
